donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"Caring Military Man. This donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “I’ll never forget the handshake and ‘thank you’ that I received from both of those pilots,” he says. Standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. Helping people is his life's mission; he’s studying psychology in college and hopes to become a counselor.. Justin Kirk Michael Muhney",6' (183cm),164 lbs (74kg),Blue,Brown,,Bachelor,"Kinesiology, Music Engineering Technology, Psychology","American Indian or Alaska Native, Caucasian",,,,original,
"Outward Bounder. Armed with just a map and a compass, makes his mark on history by trekking remote landscapes. Standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. He did just that when he hiked thousands of miles through national forests to reach untouched summits. Whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),145 lbs (66kg),Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,,original,
"Ready for Anything. Color us impressed. Bryce, Yellowstone, Zion National Park ? this avid outdoorsman has explored every inch of them. Need a website built, advice on the best surfing spots or help rebuilding a truck engine? He’s your guy. This wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including Native American and Ashkenazi Jewish) to cheerfully tackle virtually any challenge you can imagine. Tall, fit, fun and outgoing, he’s into composing electronic and house music.",6'1 (185cm),235 lbs (107kg),Brown,Brown,,Other,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,original,
Determined Environmentalist,5'8 (173cm),174 lbs (79kg),Blue,Dark Blond,,Master,"Environmental Studies, Public Policy","American Indian or Alaska Native, Caucasian",,,,original,
"Challenge Chaser. This strawberry blond, blue-eyed veteran thrives on challenge and change. An Eagle Scout, skillfully managed his first major project as a teenager, setting the stage for a life full of leadership and outdoor adventures. He juggles roles from jujitsu competitor to devoted soccer coach, all while maintaining close ties with his brothers and a passion for family traditions. His life mantra of planning for the worst but hoping for the best makes him a grounded yet adventurous spirit.",5'11 (180cm),197 lbs (89kg),Blue,Strawberry Blond,,Other,General Studies,"American Indian or Alaska Native, Caucasian",,,,original,
"AI Altruist. may be an applied mathematics major working in AI, but he prioritizes making genuine connections with people … IRL. Driven by a sense of altruism his whole life, he looks forward to times he can use his patience and understanding to help others. This 6’4” martial artist and competitive sailor also loves nature. He has fond memories of his native American grandmother and holidays with his Scandinavian family. And he has lots to say about love, forgiveness, and the Seattle grunge sound.",6'4 (193cm),220 lbs (100kg),Hazel,Light Brown,,Bachelor,"Business Administration, Mathematics","American Indian or Alaska Native, Caucasian",,,,original,
"A Flying Start. You can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 GPA and loves hunting and fishing. His favorite way of staying fit? Playing baseball and basketball with his friends and family. This well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. Super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",5'10 (178cm),134 lbs (61kg),Blue,Brown,,Other,Aviation,"American Indian or Alaska Native, Caucasian",,,,original,
"May He Have This Dance?. A champion ballroom dancer, ’s competitive and passionate nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors like acting and music. He is a free spirit who is ready to try just about anything – but good luck trying to pressure him into something he doesn’t want to do. Hiking and traveling have become more important to him recently, as his Express Yourself beautifully demonstrates.. James Van Der Beek David Morrissey",5'10 (178cm),146 lbs (66kg),Brown,Dark Blond,,Bachelor,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,original,
"Vaughn. , Vaughn, is a caring and genuine individual. He has hazel eyes, brown hair and a charming smile. He has a unmatched devotion to his loved ones and enjoys spending quality time with them. He is very intelligent and was a collegiate athlete. He is emotionally intelligent and is very easy to talk to. He loves tennis and is a natural outdoors man. Vaughn is calm, level headed, and loyal to his family and friends. , Vaughn, is a outstanding individual and would make a great donor for your family!","6'1""",215.0,,,,,,"American Indian or Alaska Native, Caucasian",,,,original,
"For the most part, for the most part, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and has a fondness for spending quality time with them. he is exceptionally intelligent and was a collegiate athlete. he is emotionally intelligent and is exceptionally easy to talk to. he is enthusiastic about tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!","6'1""",215,Blue,Brown,,Other,,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.644896
"Primarily, may he have this dance?. a champion ballroom dancer, ’s competitive and dedicated nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors enjoy acting and music. he is a free spirit who is ready to try just about anything – but outstanding luck trying to pressure him into something he doesn’t want to do. hiking and traveling have become more important to him recently, as his express yourself beautifully demonstrates.. james van der beek david morrissey",6' (183cm),146 lbs (66kg),Blue,Brown,,Other,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.645511
